Start	time：2023-07-06	19:05:08.308
Date	Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	hx	hy	hz	q0	q1	q2	q3	
2023-07-06	19:05:13.761	-0.0566	0.0400	1.0273	-31.0059	153.9917	52.5513	5.5371	3.6090	-117.6471	0	0	0	0.5155	0.0519	-0.0250	-0.8549	
2023-07-06	19:05:13.846	-0.2319	0.0591	0.9385	-9.8267	85.6934	39.5508	4.7021	13.5736	-113.3899	0	0	0	0.5407	0.1211	0.0308	-0.8319	
2023-07-06	19:05:13.973	-0.3169	0.0137	1.0117	-13.1836	58.8379	40.5273	4.2682	19.1711	-110.3467	0	0	0	0.5576	0.1576	0.0649	-0.8124	
2023-07-06	19:05:14.052	-0.3696	0.0605	0.9141	8.4229	32.7148	50.0488	5.2295	24.7687	-105.5072	0	0	0	0.5828	0.1975	0.0942	-0.7826	
2023-07-06	19:05:14.167	-0.4116	0.0649	0.9512	-1.2817	-9.2773	-0.3052	6.3391	24.7302	-103.4418	0	0	0	0.5949	0.2013	0.0901	-0.7730	
2023-07-06	19:05:14.253	-0.3530	0.0952	0.9297	0.1831	-54.9316	3.4790	6.3007	21.3574	-104.0186	0	0	0	0.5959	0.1791	0.0713	-0.7796	
2023-07-06	19:05:14.375	-0.2896	-0.0693	1.2046	-165.2222	-148.4375	-13.7329	0.2197	14.6173	-104.3756	0	0	0	0.6079	0.1017	0.0765	-0.7838	
2023-07-06	19:05:14.457	-0.0444	-0.1006	1.2515	15.9302	-47.8516	29.7852	-0.9668	8.2672	-101.5137	0	0	0	0.6314	0.0505	0.0521	-0.7720	
2023-07-06	19:05:14.574	-0.1519	-0.0469	0.9395	38.5132	-47.1802	-12.3901	1.0986	3.5651	-104.7601	0	0	0	0.6099	0.0305	0.0114	-0.7918	
2023-07-06	19:05:14.657	0.1860	0.0195	0.9990	38.1470	31.2500	-36.6211	2.4884	3.2959	-106.0126	0	0	0	0.6008	0.0360	-0.0000	-0.7986	
2023-07-06	19:05:14.778	-0.0298	0.1997	1.1221	52.3682	24.5361	-79.7119	3.2520	0.8844	-116.5759	0	0	0	0.5252	0.0215	-0.0201	-0.8504	
2023-07-06	19:05:14.838	0.0605	-0.0361	0.9072	46.8750	-2.3193	-15.0146	6.2897	-0.5878	-112.9175	0	0	0	0.5519	0.0260	-0.0486	-0.8321	
2023-07-06	19:05:14.983	-0.1499	-0.0249	0.8979	-16.1743	-4.3335	3.9063	7.0038	0.3241	-114.8291	0	0	0	0.5374	0.0353	-0.0499	-0.8411	
2023-07-06	19:05:15.042	-0.2329	0.2671	1.1772	-100.5859	-77.2705	44.1895	3.4882	-5.0482	-113.7085	0	0	0	0.5471	-0.0202	-0.0495	-0.8353	
2023-07-06	19:05:15.184	1.9336	0.2095	3.6445	90.0879	343.5059	-134.0942	6.7456	-12.1399	-113.0493	0	0	0	0.5527	-0.0558	-0.1070	-0.8246	
2023-07-06	19:05:15.241	0.0923	-0.0737	-0.0962	134.5215	-24.2920	-74.6460	17.1552	23.0438	-114.8236	0	0	0	0.4967	0.2451	-0.0168	-0.8324	
2023-07-06	19:05:15.389	-0.2290	-0.0225	-0.5972	742.7979	-615.6006	149.2310	0.6976	26.9110	-124.5630	0	0	0	0.4511	0.2087	0.1030	-0.8616	
2023-07-06	19:05:15.444	0.6611	-0.2397	0.5127	-30.3955	302.6123	97.5952	-5.3229	-9.6954	-110.0720	0	0	0	0.5672	-0.0957	-0.0105	-0.8179	
2023-07-06	19:05:15.595	-0.0283	0.1533	0.9429	63.5986	-25.0854	-122.7417	0.5713	-4.5648	-115.1971	0	0	0	0.5356	-0.0310	-0.0255	-0.8435	
2023-07-06	19:05:15.644	0.0786	-0.0391	1.0405	-50.3540	2.9907	8.3618	-3.6365	-3.7244	-117.8668	0	0	0	0.5146	-0.0442	0.0104	-0.8562	
2023-07-06	19:05:15.796	0.1367	-0.1040	0.9307	-5.5542	-0.1831	7.8735	-2.9059	-4.6967	-116.9714	0	0	0	0.5212	-0.0482	0.0002	-0.8521	
2023-07-06	19:05:15.850	0.1499	-0.0356	0.9536	0.2441	2.8076	1.5869	-2.6202	-5.1416	-116.9769	0	0	0	0.5211	-0.0502	-0.0040	-0.8520	
2023-07-06	19:05:15.995	0.1431	-0.0220	0.9937	7.3853	-1.2207	10.1929	-2.2083	-5.2734	-116.7792	0	0	0	0.5227	-0.0493	-0.0077	-0.8510	
2023-07-06	19:05:16.048	0.1733	-0.0010	0.9712	10.0708	-2.8687	0.7935	-1.3623	-5.7898	-116.6803	0	0	0	0.5237	-0.0492	-0.0164	-0.8503	
2023-07-06	19:05:16.192	0.1563	0.0215	0.9463	5.4321	0.9766	-4.2114	-0.3461	-6.3776	-117.2791	0	0	0	0.5195	-0.0491	-0.0264	-0.8527	
