t,ax,ay,az,gx,gy,gz
94.881,16.09,-0.9900000000000001,2.129999999999999,0.01,-1.76,0.26
95.005,-6.590000000000001,0.4,8.54,0.12000000000000001,-1.48,0.24
95.13,-5.7700000000000005,-0.44000000000000006,1.1099999999999994,-0.2,1.02,-0.23
95.254,-5.45,0.6,-10.010000000000002,-0.41,2.6599999999999997,-0.17
95.378,15.26,0.25,0.009999999999999787,-0.26,0.19,-0.15
95.503,-5.67,0.09999999999999998,8.809999999999999,0.13999999999999999,-1.39,0.16
95.627,-7.4,0.16999999999999998,1.1799999999999997,0.19999999999999998,0.24,-0.1
95.752,-5.23,0.08999999999999997,-9.190000000000001,-0.47,1.83,-0.26
95.876,12.92,1.17,-0.6799999999999997,-0.29,0.87,-0.38
96.0,-3.6999999999999997,0.53,7.609999999999999,0.19999999999999998,-1.53,0.12
96.125,-4.38,-3.7,0.8300000000000001,0.61,0.03,0.05
96.249,-4.82,-1.02,-5.0,-0.3,1.32,0.05
96.373,0.29000000000000004,-0.6900000000000001,-4.649999999999999,-0.15000000000000002,0.6900000000000001,0.04
96.498,3.78,1.8399999999999999,8.55,0.45,-2.0500000000000003,0.16
96.622,-3.85,2.88,3.4399999999999995,0.6,-0.82,-0.19
96.746,-1.4,-0.32999999999999996,-1.040000000000001,0.09000000000000001,0.9400000000000001,0.04
96.871,-0.32999999999999996,0.42,-9.32,-0.69,1.41,-0.3
96.995,9.51,0.64,4.4399999999999995,-0.26999999999999996,-1.9799999999999998,0.22
97.12,-4.7700000000000005,1.2,8.1,0.15,-1.49,0.12
97.244,-4.87,1.25,0.7899999999999991,-0.030000000000000002,-0.25,-0.16
97.368,-6.58,-2.1,-5.219999999999999,-0.9299999999999999,0.87,-0.15
97.493,2.14,1.37,-0.9399999999999995,-0.25,0.43000000000000005,-0.3
97.617,1.8900000000000001,3.0500000000000003,4.9799999999999995,-0.02,-1.9,0.09
97.741,-4.3500000000000005,1.5499999999999998,3.219999999999999,2.03,-2.0100000000000002,-0.76
97.866,-0.09999999999999998,-0.30000000000000004,-1.0700000000000003,1.34,2.15,-0.18
97.99,-0.21999999999999997,-6.39,2.119999999999999,0.22,1.67,-0.14
98.114,-2.07,-2.78,-3.7699999999999996,-0.36,0.54,-0.07
98.239,5.6,-6.34,2.369999999999999,-0.2,-0.2,0.02
98.363,-2.65,-3.27,-0.33999999999999986,-0.32999999999999996,0.19,0.04
98.487,8.05,-1.21,1.5999999999999996,-4.24,0.47,0.44
98.612,3.02,11.01,1.049999999999999,-1.89,0.2,-0.0
98.736,-4.69,3.9,2.1999999999999993,-0.36,-0.94,0.38
98.86,-3.35,5.03,2.969999999999999,-0.52,0.009999999999999998,0.05
98.984,-1.7599999999999998,8.24,-0.9500000000000011,-0.09999999999999999,0.28,-0.5
99.108,-0.25,8.569999999999999,2.08,2.25,-0.11000000000000001,-0.94
99.233,-3.6199999999999997,2.23,3.219999999999999,3.02,-1.71,-0.77
99.357,-1.52,-7.1899999999999995,-0.15000000000000036,1.79,0.72,-0.24
99.481,1.5100000000000002,-3.96,-0.7100000000000009,-0.13,0.86,-0.09
99.605,-0.26,-3.6,3.629999999999999,0.93,2.0399999999999996,-0.63
99.729,-0.14999999999999997,-7.919999999999999,0.28999999999999915,-0.039999999999999994,1.49,0.16
99.853,1.31,-5.0,1.3699999999999992,-2.34,1.3800000000000001,-0.24
99.977,-1.5699999999999998,2.9,0.6699999999999999,-3.46,1.1400000000000001,0.53
100.106,4.72,2.48,2.41,0.5,-0.5399999999999999,-0.01
